Name,Near Location,State,FIPS,Type of Facility,Listed Capacity,Max Capacity
Benton County Jail,Benton County,Mississippi,28009,Local,2689,2942
Bolivar Women's County Correctional Facility,Bolivar County,Mississippi,28011,County,975,3858
Bolivar County Regional Correctional Facility,Bolivar County,Mississippi,28011,Local,153,4517
Community Work Center,Bolivar County,Mississippi,28011,State,415,4714
Calhoun County Jail,Calhoun County,Mississippi,28013,Local,1292,1155
Montgomery Region Correctional Center,Carroll County,Mississippi,28015,Local,1749,1222
Carroll Region Correctional Center,Carroll County,Mississippi,28015,Local,1891,3837
Carroll-Montgomery Youth Correctional Facility,Carroll County,Mississippi,28015,County,1403,1491
Chickasaw County,Chickasaw County,Mississippi,28017,Local,2645,4321
Choctaw County Jail,Choctaw County,Mississippi,28019,"State,Local",989,1176
Clarke County Jail,Clarke County,Mississippi,28023,Local,54,5470
Clay County Jail,Clay County,Mississippi,28025,"State,Local",2719,2447
Coahoma County Jail,Coahoma County,Mississippi,28027,Local,196,6467
Covington County Jail,Covington County,Mississippi,28031,Local,699,2211
Desoto County Jail,DeSoto County,Mississippi,28033,Local,1385,3843
Forest County Community Work Center,Forrest County,Mississippi,28035,State,1429,3425
Forest County Jail and Work Release,Forrest County,Mississippi,28035,Local,1105,370
Forrest County Jail,Forrest County,Mississippi,28035,Local,2157,6556
Franklin County Jail,Franklin County,Mississippi,28037,Local,2760,2928
George Community County Work Center,George County,Mississippi,28039,Local,1156,1141
Green Regional Correctional Facility,George County,Mississippi,28039,Local,1895,994
George-Greene County Correctional Facility,George County,Mississippi,28039,County,819,5272
South Mississippi Correctional Institution,Greene County,Mississippi,28041,State,2173,6478
North Mississippi Correctional Institution ,Greene County,Mississippi,28041,State,86,5095
Grendada County Jail,Grenada County,Mississippi,28043,Local,1288,143
Hancock County Public Safety Complex,Bay St. Louis,Mississippi,28045,State,2103,5012
Unlisted - Harrison County,Harrison County,Mississippi,28047,Unlisted,585,5608
Hinds County Restitution Center,Hinds County,Mississippi,28049,State,2257,652
Unlisted - Hinds County,Hinds County,Mississippi,28049,Unlisted,983,6043
Holmes-Humphreys County Correctional Facility,,Mississippi,28051,County,1130,6306
Humphreys County Jail,Humphreys County,Mississippi,28053,Local,1697,951
Issaquena County Correctional Facility,Issaquena County,Mississippi,28055,"State,Local",1508,4662
Itawamba County Jail,Itawamba County,Mississippi,28057,Local,1468,1591
Jackson County Jail,Jackson County,Mississippi,28059,Local,1846,5373
Unlisted - Jackson County,Jackson County,Mississippi,28059,Unlisted,2219,1273
Jasper County Jail,Jasper County,Mississippi,28061,Local,819,6081
Jefferson-Franklin County Regional Correctional Facility,Jefferson County,Mississippi,28063,State,1986,3733
Jefferson Davis County Jail,Jefferson Davis County,Mississippi,28065,Local,1064,5362
Jones County Jail,Jones County,Mississippi,28067,Local,1634,5154
Kemper County Jail,Kemper County,Mississippi,28069,Local,418,4724
Kemper-Neshoba County Correctional Facility,Kemper County,Mississippi,28069,County,2776,548
Lafayette County Jail,Lafayette County,Mississippi,28071,Local,959,2079
Lamar County Jail,Lamar County,Mississippi,28073,Local,2093,156
East Mississippi Correctional Facility,Lauderdale County,Mississippi,28075,Private,2322,295
West Mississippi Correctional Facility ,Lauderdale County,Mississippi,28075,Private,258,707
Lauderdale County Jail,Lauderdale County,Mississippi,28075,Local,922,6745
Unlisted - Lauderdale County,Lauderdale County,Mississippi,28075,Unlisted,2122,3619
Leake County Correctional Facility,Leake County,Mississippi,28079,Local,767,1137
Unlisted - Leake County,Leake County,Mississippi,28079,Unlisted,710,5537
Lee County Jail,Lee County,Mississippi,28081,Local,209,5958
Unlisted - Lee County,Lee County,Mississippi,28081,Unlisted,959,5667
Delta Correctional Facilitiy,Leflore County,Mississippi,28083,Private,1572,6233
Lincoln County Jail,Lincoln County,Mississippi,28085,Local,1499,1341
Lowndes County Jail,Lowndes County,Mississippi,28087,Local,268,6298
Madison County Jail,Madison County,Mississippi,28089,State,1634,5800
Marion-Walthall County Correctional Facility,Marion County,Mississippi,28091,County,2587,3886
Marion-Walthall Regional Correctional Facility,Marion County,Mississippi,28091,State,1393,6331
Unlisted - Marion County,Marion County,Mississippi,28091,Unlisted,1320,5314
Marshall County Correctional Facility ,Marshall County,Mississippi,28093,Private,32,2596
Wackenhut County Correctional Facility,Marshall County,Mississippi,28093,Private,1593,5280
Marshall County Jail,Marshall County,Mississippi,28093,Local,1708,1351
Monroe County Jail,Monroe County,Mississippi,28095,Local,1740,765
Unlisted - Monroe County,Monroe County,Mississippi,28095,Unlisted,1378,3914
Neshoba County Detention Center,Neshoba County,Mississippi,28099,Local,1019,2547
Newton County Jail,Newton County,Mississippi,28101,Local,987,6432
Noxubee County Comm Work Center,Noxubee County,Mississippi,28103,State,1740,6645
Noxubee County Jail,Noxubee County,Mississippi,28103,Local,2129,1362
Okibbeha County Jail,Oktibbeha County,Mississippi,28105,Local,1356,2730
Unlisted - Oktibbeha County,Oktibbeha County,Mississippi,28105,Unlisted,1627,4227
Panola County Jail,Panola County,Mississippi,28107,Local,707,3864
Pearl River County Jail,Pearl River County,Mississippi,28109,Local,2694,2612
Pike County Jail,Pike County,Mississippi,28113,local,1124,4253
Pike County Community Work Center,Pike County,Mississippi,28113,state,2048,1906
Prentiss County Jail,Prentiss County,Mississippi,28117,Local,2715,4324
Quitman County Community Work Center,Quitman County,Mississippi,28119,State,495,3262
Quitman County Jail,Quitman County,Mississippi,28119,Local,2204,5273
Central Mississippi Correctional Facility,Rankin County,Mississippi,28121,State,961,16
Central Mississippi Work Center,Rankin County,Mississippi,28121,State,2362,5761
Flowood Restitution and Community Work Center,Rankin County,Mississippi,28121,State,684,6400
Scott County Jail,Scott County,Mississippi,28123,Local,1872,6445
Simpson County Community Work Center,Simpson County,Mississippi,28127,State,2623,4034
Unlisted - Simpson County,Simpson County,Mississippi,28127,Unlisted,575,4626
Stone County Correctional Facility,Stone County,Mississippi,28131,County,1273,4658
Stone County Jail,Stone County,Mississippi,28131,Local,1945,1884
Mississippi State Penitentiary,Sunflower County,Mississippi,28133,State,2611,2649
Mississippi State Penitentiary ,Sunflower County,Mississippi,28133,State,1589,6137
Sunflower County Jail,Sunflower County,Mississippi,28133,Local,415,6799
Unlisted - Sunflower County,Sunflower County,Mississippi,28133,Unlisted,649,3578
Tallahatchie County Correctional Facility,Tallahatchie County,Mississippi,28135,Private,221,5617
Tate County Jail,Tate County,Mississippi,28137,Local,1239,1741
Tishomingo County Jail,Tishomingo County,Mississippi,28141,Local,2603,143
Tunica County Jail,Tunica County,Mississippi,28143,Local,257,301
Union County Jail,Union County,Mississippi,28145,Local,2429,5148
Walthall County Jail,Walthall County,Mississippi,28147,Local,2759,1171
Warren County Jail,Warren County,Mississippi,28149,Local,1483,876
Hollandale City Jail,Washington County,Mississippi,28151,Local,2662,309
Unlisted - Washington County,Washington County,Mississippi,28151,Unlisted,845,3444
Washington County Community Work Center,Washington County,Mississippi,28151,State,2554,4848
Washington County Jail,Washington County,Mississippi,28151,Local,1287,1285
Wayne County Jail,Wayne County,Mississippi,28153,Local,866,2510
Webster County Jail,Webster County,Mississippi,28155,Local,2697,4996
Wilkinson County Community Work Center,Wilkinson County,Mississippi,28157,State,194,3895
Wilkinson County Correctional Facility,Wilkinson County,Mississippi,28157,Private,533,1468
Wilkinson County Jail,Wilkinson County,Mississippi,28157,Local,1126,6774
Winston Regional Correctional Facility,Winston County,Mississippi,28159,Local,43,3055
Choctaw Regional Correctional Facility,Winston County,Mississippi,28159,County,1532,3162
Yalobusha County Jail,Yalobusha County,Mississippi,28161,Local,409,4835
Yazoo Medium Federal Correction Institution,Yazoo County,Mississippi,28163,Federal,2080,1400
Yazoo Low Federal Correction Institution,Yazoo County,Mississippi,28163,Federal,1684,1712
Federal Women's Correctional Complex ,Yazoo County,Mississippi,28163,Federal,2715,217
Federal Correctional Institution,Yazoo County,Mississippi,28163,Federal,1203,3480
Yazoo County Community Work Center,Yazoo County,Mississippi,28163,State,698,360
Yazoo County Jail,Yazoo County,Mississippi,28163,Local,2166,4874
Yazoo County Regional Correctional Facility,Yazoo County,Mississippi,28163,State,2323,6591
Aldair County Jail,Adair County,Missouri,29001,Local,1367,2453
Andrew County Jail,Andrew County,Missouri,29003,Local,2424,1505
Atchison County Jail,Atchison County,Missouri,29005,Local,220,2617
Audrain County Jail,Audrain County,Missouri,29007,Local,1994,5523
Women's Eastern Treatment Center,Audrain County,Missouri,29007,State,323,719
Barry County Jail,Barry County,Missouri,29009,Local,753,2040
Barton County Jail,Barton County,Missouri,29011,Local,1620,3322
Bates County Jail,Bates County,Missouri,29013,Local,405,2107
Benton County Jail,Benton County,Missouri,29015,Local,2621,6588
Bollinger County Jail,Bollinger County,Missouri,29017,Local,1823,67
Boone County Jail,Boone County,Missouri,29019,Local,1695,3519
Robert L. Perry Juvenile Center,Boone County,Missouri,29019,State,533,3239
Unlisted - Boone County,Boone County,Missouri,29019,Unlisted,1339,5119
Buchanan County Jail,Buchanan County,Missouri,29021,Local,378,1592
Western Region  Correction Center,Buchanan County,Missouri,29021,State,1476,6784
Western Reception Diagnostic Treatment Center,Buchanan County,Missouri,29021,State,1670,2089
Butler County Jail,Butler County,Missouri,29023,Local,32,1793
Westwood Treatment Center,Butler County,Missouri,29023,Private,410,5057
Caldwell County Jail,Caldwell County,Missouri,29025,Local,955,3447
Callaway County Jail,Callaway County,Missouri,29027,Local,491,6133
Cremer Therapeutic Community Center,Callaway County,Missouri,29027,State,1876,3009
Fulton Reception and Diagnostic Center,Callaway County,Missouri,29027,State,2264,6903
Jefferson City Correctional Center,Callaway County,Missouri,29027,State,410,6894
Camden County Jail,Camden County,Missouri,29029,Local,2779,262
Unlisted - Camden County,Camden County,Missouri,29029,Unlisted,305,5838
Cape Girardeau City Jail,Cape Girardeau County,Missouri,29031,Local,2380,986
Cape Girardeau County Jail,Cape Girardeau County,Missouri,29031,Local,414,2752
Cass County Jail,Cass County,Missouri,29037,Local,808,4543
Cedar County Jail,Cedar County,Missouri,29039,Local,2472,351
Chariton County Jail,Chariton County,Missouri,29041,Local,2341,1946
Christian County Jail,Christian County,Missouri,29043,Local,2421,439
Clark County Jail,Clark County,Missouri,29045,Local,1328,2384
Clay County Detention Center,Clay County,Missouri,29047,Local,965,4801
Algoa Correction Center; Jefferson City Correction Center,Cole County,Missouri,29051,State,2057,5666
Algoa Correctional Center,Cole County,Missouri,29051,State,824,6234
Cole County Jail,Cole County,Missouri,29051,Local,131,1481
Jefferson City Correction Center,Cole County,Missouri,29051,State,1465,3992
Boonville Correctional Center,Cooper County,Missouri,29053,State,1844,4563
Crawford County Jail,Crawford County,Missouri,29055,Local,768,6094
Dade County Jail and Residence,Dade County,Missouri,29057,Local,2105,170
Dallas County Jail,Dallas County,Missouri,29059,Local,2732,2499
Daviess/DeKalb Regional Jail,Daviess County,Missouri,29061,Local,1402,1783
Crossroads Correctional Center,DeKalb County,Missouri,29063,State,1569,1496
Crossroads Correctional Facility,DeKalb County,Missouri,29063,State,554,751
Western Missouri Correctional Center,DeKalb County,Missouri,29063,State,2325,993
Western Reception ,DeKalb County,Missouri,29063,State,249,5134
Dent County Jail,Dent County,Missouri,29065,Local,2289,2389
Douglas County Jail,Douglas County,Missouri,29067,Local,476,1796
Dunklin County Jail,Dunklin County,Missouri,29069,Local,1353,4389
Sherriff's Office Adult Detention Center,Franklin County,Missouri,29071,Local,1792,4120
Unlisted - Franklin County,Franklin County,Missouri,29071,Unlisted,612,1957
Alpha House,Greene County,Missouri,29077,Private,1388,183
Greene County Jail,Greene County,Missouri,29077,Local,1944,6471
United States Medical Center for Federal Prisoners,Greene County,Missouri,29077,Federal,1626,4161
US Medical Center for Federal Prisoners,Greene County,Missouri,29077,Federal,1218,4987
Grundy County Jail,Grundy County,Missouri,29079,Local,1953,2840
Harrison County Jail,Harrison County,Missouri,29081,Local,1345,1673
Henry County Jail,Henry County,Missouri,29083,Local,1452,1539
Hickory County Jail,Hickory County,Missouri,29085,Local,790,1632
Holt County Jail,Holt County,Missouri,29087,Local,801,4393
Howard County Jail,Howard County,Missouri,29089,Local,2234,5303
Howell County Detention Center,Howell County,Missouri,29091,Local,2709,1985
Unlisted - Howell County,Howell County,Missouri,29091,Unlisted,1858,4242
Iron County Jail,Iron County,Missouri,29093,Local,1020,2137
Comm Corr Center,Jackson County,Missouri,29095,Halfway House,477,1079
Jackson County Detention Center,Jackson County,Missouri,29095,Local,451,2249
Kansas City Correctional Institution,Jackson County,Missouri,29095,Local,2144,3555
Kansas City Reentry Center,Jackson County,Missouri,29095,State,1397,4711
Unlisted - Jackson County,Jackson County,Missouri,29095,Unlisted,1799,3183
Jasper County Jail,Jasper County,Missouri,29097,Local,699,4150
Joplin City Jail,Jasper County,Missouri,29097,Local,1728,2690
Jefferson County Jail,Jefferson County,Missouri,29099,Local,2578,790
Integrity Correctional Center,Johnson County,Missouri,29101,Private,2688,2077
Johnson County Jail,Johnson County,Missouri,29101,Local,1759,4573
Laclede County Jail,Laclede County,Missouri,29105,Local,746,3627
Layfette County Jail,Lafayette County,Missouri,29107,Local,2602,91
Lawrence County Jail,Lawrence County,Missouri,29109,Local,1694,1800
Lewis County Jail,Lewis County,Missouri,29111,Local,1485,879
Lincoln County Jail,Lincoln County,Missouri,29113,Local,2370,439
Chillicothe Correctional Center,Livingston County,Missouri,29117,State,1607,6920
Livingston County Jail,Livingston County,Missouri,29117,Local,115,5417
McDonald County Jail,McDonald County,Missouri,29119,Local,2592,3243
Madison County Jail,Madison County,Missouri,29123,Local,1204,2421
Marion County Jail,Marion County,Missouri,29127,Local,1938,1484
Unlisted - Marion County,Marion County,Missouri,29127,Unlisted,1930,6875
Miller County Jail,Miller County,Missouri,29131,Local,2536,2295
Mississippi County Jail,Mississippi County,Missouri,29133,Local,1288,6624
Southeast Correctional Center,Mississippi County,Missouri,29133,State,373,1085
Tipton Correctional Center,Moniteau County,Missouri,29135,State,1109,5511
Monroe County Jail,Monroe County,Missouri,29137,Local,2079,5276
Montgomery County Jail,Montgomery County,Missouri,29139,Local,2587,306
Morgan County Adult Detention Center,Versailles,Missouri,29141,State,34,1960
Morgan County Jail,Morgan County,Missouri,29141,Local,933,5118
New Madrid County Jail,New Madrid County,Missouri,29143,Local,283,817
Newtown County Jail,Newton County,Missouri,29145,Local,990,5721
Maryville Treatment Center,Nodaway County,Missouri,29147,State,2403,1481
Nowaday County Jail,Nodaway County,Missouri,29147,Local,1566,5862
Oregon County Jail,Oregon County,Missouri,29149,Local,2124,2271
Unlisted,Osage County,Missouri,29151,Unlisted,2660,264
Pemiscot County Jail,Pemiscot County,Missouri,29155,Local,1274,705
Perry County Jail,Perry County,Missouri,29157,Local,1643,5625
Pettis County Jail,Pettis County,Missouri,29159,Unlisted,2134,4609
Phelps County Jail,Phelps County,Missouri,29161,Local,1589,2638
Northeast Correction Center,Pike County,Missouri,29163,State,2247,4994
Pike County Jail,Pike County,Missouri,29163,Local,2615,388
Platte County Jail,Platte County,Missouri,29165,Local,600,3408
Polk County Jail,Polk County,Missouri,29167,Local,1586,3584
Pulaski County Jail,Pulaski County,Missouri,29169,Local,2143,6779
Moberly Correctional Center,Randolph County,Missouri,29175,State,37,6705
Randolph County Jail,Randolph County,Missouri,29175,Local,908,5107
Unlisted - Randolph County,Randolph County,Missouri,29175,Unlisted,2578,4819
Ray County Jail,Ray County,Missouri,29177,Local,2189,1787
Reynolds County Jail,Reynolds County,Missouri,29179,Local,414,3490
St. Charles County Jail,St. Charles County,Missouri,29183,Local,2124,2402
St. Clair County Jail,St. Clair County,Missouri,29185,Local,1844,4922
Unlisted - St. Clair County,St. Clair County,Missouri,29185,Unlisted,2739,1207
Ste. Genevieve County Jail,Ste. Genevieve County,Missouri,29186,Local,304,392
Eastern Reception Diagnostic Center,St. Francois County,Missouri,29187,State,2153,678
Farmington Correctional Facility,St. Francois County,Missouri,29187,State,561,1313
St. Francois County Jail,St. Francois County,Missouri,29187,Local,748,413
Eastern Missouri Correctional Center,St. Louis County,Missouri,29189,State,1047,6160
Jennings City Jail,St. Louis County,Missouri,29189,Local,2109,4361
St. Louis County Justice Services,St. Louis County,Missouri,29189,Local,455,6553
Unlisted - St. Louis County,St. Louis County,Missouri,29189,Unlisted,2048,1716
Saline County Jail,Saline County,Missouri,29195,Local,1635,3157
Scotland County Jail,Scotland County,Missouri,29199,Local,1010,5513
Scott County Jail,Scott County,Missouri,29201,Local,1714,229
Shannon County Jail,Shannon County,Missouri,29203,Local,1736,525
Shelby County Jail,Shelby County,Missouri,29205,Local,332,3680
Stoddard County Jail,Stoddard County,Missouri,29207,Local,2574,801
Taney County Jail,Taney County,Missouri,29213,Local,2588,6708
Unlisted - Taney County,Taney County,Missouri,29213,Unlisted,613,6365
South Central Correctional Facility,Texas County,Missouri,29215,State,122,3977
Texas County Jail,Texas County,Missouri,29215,Local,2358,6317
Vernon County Jail,Vernon County,Missouri,29217,Local,568,4248
Warren County Jail,Warren County,Missouri,29219,Local,2689,202
Potosi Correctional Center,Washington County,Missouri,29221,State,2089,1966
Washington County Jail,Washington County,Missouri,29221,Local,1079,2570
Wayne County Jail,Wayne County,Missouri,29223,Local,835,4247
Ozark Correctional Center,Webster County,Missouri,29225,State,268,1152
Webster County Jail,Webster County,Missouri,29225,Local,1402,526
Wright County Jail,Wright County,Missouri,29229,Local,1958,5487
Ditmas House,St. Louis city,Missouri,29510,Private,755,4465
Mers/Mo Goodwill,St. Louis city,Missouri,29510,Private,330,3241
Missouri Eastern Correctional Center,St. Louis city,Missouri,29510,State,1171,4074
St. Louis City Justice Center,St. Louis city,Missouri,29510,Local,36,3234
St. Louis Community Release Center,St. Louis city,Missouri,29510,State,2583,482
Beaverhead County Jail,Beaverhead County,Montana,30001,Local,131,3061
Big Horn County Jail,Big Horn County,Montana,30003,Local,1623,5114
Blaine County Jail,Blaine County,Montana,30005,Local,714,1229
Broadwater County Jail,Broadwater County,Montana,30007,Local,1115,2815
Cascade County Regional Prison,Cascade County,Montana,30013,Local,954,126
Great Falls Pre-Release,Cascade County,Montana,30013,Private,2687,6418
Unlisted - Cascade County,Cascade County,Montana,30013,Unlisted,2161,527
Chouteau County Jail,Chouteau County,Montana,30015,Local,1499,4221
Law Enforcement Center,Custer County,Montana,30017,Local,1812,2039
Pine Hills Correctional Facility ,Custer County,Montana,30017,State,1445,3408
Pine Hills Youth Correctional Facility ,Custer County,Montana,30017,State,125,3923
Dawson County Corrections,Dawson County,Montana,30021,Unlisted,754,2768
WATCh East,Dawson County,Montana,30021,Private,198,1216
Deer Lodge County Jail,Deer Lodge County,Montana,30023,Local,1582,5601
START Program,Deer Lodge County,Montana,30023,Private,1776,1362
START revocation and sanction center ,Deer Lodge County,Montana,30023,State,362,1706
Treasure State Correctional Training Center ,Deer Lodge County,Montana,30023,State,1167,5432
WATCh DUI treatment program ,Deer Lodge County,Montana,30023,State,1338,4482
WATCh Program,Deer Lodge County,Montana,30023,Private,1667,3858
Fallon County Jail,Fallon County,Montana,30025,Local,2077,6334
Fergus County Jail,Fergus County,Montana,30027,Local,72,6117
Nexus Meth Treatment Center ,Fergus County,Montana,30027,State,700,6028
NEXUS Methamphetamine Treatment Center ,Fergus County,Montana,30027,Private,627,6209
Flathead County Detention Center,Flathead County,Montana,30029,Local,1822,6981
Unlisted - Flathead County,Flathead County,Montana,30029,Unlisted,2551,5475
Gallatin County Detention Center,Gallatin County,Montana,30031,Local,2341,1037
Blackfeet Adult Detention Center,Glacier County,Montana,30035,Local,1772,5624
Glacier County Jail,Glacier County,Montana,30035,Local,1945,766
Granite County Jail,Granite County,Montana,30039,Local,1458,4873
Hill County Jail,Hill County,Montana,30041,Local,706,1896
Elkhorn Meth Treatment Center ,Jefferson County,Montana,30043,State,2574,3975
Jefferson County Jail,Jefferson County,Montana,30043,Local,352,6355
Riverside Youth Correctional Facility ,Jefferson County,Montana,30043,State,227,3372
Unlisted - Jefferson County,Jefferson County,Montana,30043,Unlisted,2127,315
Lake County Jail,Lake County,Montana,30047,Local,644,6592
Pablo Police Department,Lake County,Montana,30047,Local,2233,6264
Unlisted - Lake County,Lake County,Montana,30047,Unlisted,2546,6414
Helena Pre-Release Center,Lewis and Clark County,Montana,30049,Halfway House,2485,5501
Lewis and Clark County Jail,Lewis and Clark County,Montana,30049,Local,443,5866
Lincoln County Jail,Lincoln County,Montana,30053,Local,2105,5217
Mineral County Jail,Mineral County,Montana,30061,Local,268,4373
Missoula Assessment and Sanction Center ,Missoula County,Montana,30063,State,743,4820
Missoula County Jail,Missoula County,Montana,30063,Local,1055,2517
Musselshell County Jail,Musselshell County,Montana,30065,Local,690,871
Park County Jail,Park County,Montana,30067,Local,173,3591
Pondera County Jail,Pondera County,Montana,30073,Local,538,489
Montana State Prison,Powell County,Montana,30077,State,983,1498
Treasure State Correctional Training Center,Powell County,Montana,30077,State,2457,3412
Powell County Jail,Powell County,Montana,30077,Local,1106,1981
Darby City Jail,Ravalli County,Montana,30081,Local,272,3933
Ravalli County Jail,Ravalli County,Montana,30081,Local,1900,2173
Unlisted - Ravalli County,Ravalli County,Montana,30081,Unlisted,1964,1592
Fort Peck Tribes Jail,Roosevelt County,Montana,30085,Local,1705,4152
Roosevelt County Jail,Roosevelt County,Montana,30085,Local,1633,725
Rosebud County Jail,Rosebud County,Montana,30087,Local,175,4173
Unlisted - Rosebud County,Rosebud County,Montana,30087,Unlisted,1934,92
Sanders County Jail,Sanders County,Montana,30089,Local,321,6887
Sheridan County Jail,Sheridan County,Montana,30091,Local,1988,2752
Silver Bow Correctional Detention Center,Silver Bow County,Montana,30093,Local,852,1654
Youth Correctional Services,Silver Bow County,Montana,30093,Private,291,5586
Connections Corrections ,Silver Bow County,Montana,30093,State,2472,1489
Crossroads Correctional Center,Toole County,Montana,30101,Private,1697,155
Women's Crossroads Correctional Facility,Toole County,Montana,30101,State,1042,3522
Toole County Jail,Toole County,Montana,30101,Local,945,3654
Valley County Jail,Valley County,Montana,30105,Local,1960,1782
Alpha House: Men's Pre-Release Center,Yellowstone County,Montana,30111,Private,2499,5316
Montana Women's Prison,Yellowstone County,Montana,30111,State,322,5259
Alpha House Women Program,Yellowstone County,Montana,30111,Private,1430,5336
Passages Women's Center ,Yellowstone County,Montana,30111,State,2172,4468
Yellowstone County Detention Facility,Yellowstone County,Montana,30111,Local,707,468
Adams County Jail,Adams County,Nebraska,31001,Local,1124,1728
Antelope County Jail,Antelope County,Nebraska,31003,Local,2494,5533
Boone County Jail,Boone County,Nebraska,31011,Local,2345,3101
Box Butte County Jail,Box Butte County,Nebraska,31013,Local,2050,5926
Buffalo County Jail,Buffalo County,Nebraska,31019,Local,1708,2927
Butler County Jail,Butler County,Nebraska,31023,Local,1334,3332
Cass County Jail,Cass County,Nebraska,31025,Local,2022,1547
Cedar County Jail,Cedar County,Nebraska,31027,Local,2477,620
Cherry County Jail,Cherry County,Nebraska,31031,Local,2022,2316
Cheyenne County Jail,Cheyenne County,Nebraska,31033,Local,398,5794
Clay County Jail,Clay County,Nebraska,31035,Local,1358,608
Custer County Jail,Custer County,Nebraska,31041,Local,1765,1108
Dakota County Jail,Dakota County,Nebraska,31043,Local,168,5177
Dawes County Jail,Dawes County,Nebraska,31045,Local,996,4251
Dawson County Jail,Dawson County,Nebraska,31047,Local,748,1946
Dixon County Jail,Dixon County,Nebraska,31051,Local,2733,4672
Dodge Department of Corrections,Dodge County,Nebraska,31053,Local,1645,1412
Community Corrections Center,Douglas County,Nebraska,31055,State,1031,48
Community Corrections Center II,Frontier County,Nebraska,31063,State,816,1631
Douglas Department of Corrections,Douglas County,Nebraska,31055,Local,434,3116
Nebraska Correctional Youth Facility  ,Douglas County,Nebraska,31055,State,1768,5699
Omaha Correctional Center,Douglas County,Nebraska,31055,State,389,643
Unlisted - Douglas County,Douglas County,Nebraska,31055,Unlisted,1637,2283
Fillmore County Jail,Fillmore County,Nebraska,31059,Local,524,2393
Franklin County Jail,Franklin County,Nebraska,31061,Local,2224,929
Frontier County Jail,Frontier County,Nebraska,31063,Local,230,1668
Furnas County Jail,Furnas County,Nebraska,31065,Local,2664,2218
Gage County Jail,Gage County,Nebraska,31067,Local,413,3466
Hall County Corrections,Hall County,Nebraska,31079,Local,862,5583
Hall County Department Of Corrections,Grand Island,Nebraska,31079,State,1078,483
Hamilton County Jail,Hamilton County,Nebraska,31081,Local,554,4949
Harlan County Jail,Harlan County,Nebraska,31083,Local,332,5800
Hitchcock County Jail,Hitchcock County,Nebraska,31087,Local,941,6389
Holt County Jail,Holt County,Nebraska,31089,Local,1104,4870
Jefferson County Jail,Jefferson County,Nebraska,31095,Local,396,2761
Tecumseh State Correctional Institution,Johnson County,Nebraska,31097,State,2736,3941
Kearny County Jail,Kearney County,Nebraska,31099,Local,2365,2226
Keith County Jail,Keith County,Nebraska,31101,Local,1139,1698
Kimball County Jail,Kimball County,Nebraska,31105,Local,2627,5612
Knox County Jail,Knox County,Nebraska,31107,Local,1262,4987
Diagnostic and Evaluation Center,Lancaster County,Nebraska,31109,State,343,1277
Community Corrections Center ,Lancaster County,Nebraska,31109,State,510,5205
Country Meadows,Lancaster County,Nebraska,31109,Other,1970,3862
Lancaster Correctional Facility,Lancaster County,Nebraska,31109,Local,2493,6009
Lancaster County Jail,Lancaster County,Nebraska,31109,Local,612,613
Lincoln Correctional Center ,Lancaster County,Nebraska,31109,State,814,5050
Nebraska Diagnostic and Evaluation Center,Lancaster County,Nebraska,31109,State,2237,696
Nebraska State Penitentiary,Lancaster County,Nebraska,31109,State,14,2780
Lincoln County Jail,Lincoln County,Nebraska,31111,Local,1828,6267
Madison County Jail,Madison County,Nebraska,31119,Local,473,6608
Merrick County Jail,Merrick County,Nebraska,31121,Local,353,4013
Morrill County Jail,Morrill County,Nebraska,31123,Local,777,1994
Nemaha County Jail,Nemaha County,Nebraska,31127,Local,2140,5969
Otoe County Jail,Otoe County,Nebraska,31131,Local,1306,5714
Phelps County Jail,Phelps County,Nebraska,31137,Local,332,1139
Pierce County Jail,Pierce County,Nebraska,31139,Local,2489,4437
Platte County Jail,Platte County,Nebraska,31141,Local,2779,1209
Polk County Jail,Polk County,Nebraska,31143,Local,17,3436
Work Ethic Camp,Red Willow County,Nebraska,31145,State,2601,3730
Richardson County Jail,Richardson County,Nebraska,31147,Local,1308,1331
Saline County Jail,Saline County,Nebraska,31151,Local,1945,6362
Sarpy County Jail,Sarpy County,Nebraska,31153,Local,494,5873
Saunders County Jail,Saunders County,Nebraska,31155,Local,2769,4656
Scotts Bluff County Jail,Scotts Bluff County,Nebraska,31157,Local,2523,3517
Seward County Jail,Seward County,Nebraska,31159,Local,932,2504
Sheridan County Jail,Sheridan County,Nebraska,31161,Local,277,2979
Thayer County Jail,Thayer County,Nebraska,31169,Local,1970,1831
Thurston County Jail,Thurston County,Nebraska,31173,Local,282,3566
Valley County Jail,Valley County,Nebraska,31175,Local,949,3974
Washington County Jail,Washington County,Nebraska,31177,Local,1261,918
Webster County Jail,Webster County,Nebraska,31181,Local,360,2618
Nebraska Correctional Center for Women,York County,Nebraska,31185,State,291,2706
York County Jail,York County,Nebraska,31185,Local,1851,1601
Churchill County Jail,Churchill County,Nevada,32001,Local,1213,6569
Casa Grande Transitional Housing,Clark County,Nevada,32003,Halfway House,1223,6440
Clark County Detention Center,Clark County,Nevada,32003,Local,30,5872
Florence McClure Women's Correctional Center,Clark County,Nevada,32003,State,1745,1339
Henderson Detention Center,Clark County,Nevada,32003,Federal,1511,2802
High Desert State Prison,Clark County,Nevada,32003,State,2732,6334
Three Lakes Valley Conservation Camp,Clark County,Nevada,32003,State,1484,4797
Jean Conservation Camp,Clark County,Nevada,32003,State,2666,6899
Mesquite Detention Center,Clark County,Nevada,32003,Local,1483,5033
